name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,768,80643757,motorway_junction,,,,,,-96.7696483,43.6126157,,,
,769,1360596353,,,,,,,-96.7700857,43.612405,,,
,770,80643788,motorway_junction,,,,,,-96.6974433,43.6059799,,,
,771,80643841,,,,,,,-96.6909302,43.6021603,,,
,772,80643982,motorway_junction,,,,,,-96.7454555,43.5048617,,,
,773,80643992,,,,,,,-96.7482538,43.5043286,,,
,774,80644038,motorway_junction,,,,,,-96.7713968,43.5913854,,,
,775,2449935702,,,,,,,-96.7716874,43.5888333,,,
,776,80644039,,,,,,,-96.7717661,43.588256,,,
,777,2449159153,,,,,,,-96.7721486,43.587498,,,
,778,80644048,,,,,,,-96.7724642,43.5873769,,,
,779,80644074,,,,,,,-96.771748,43.5866315,,,
,780,80644092,motorway_junction,,,,,,-96.7707643,43.5832666,,,
,781,2449935722,,,,,,,-96.7704457,43.5860201,,,
,782,80644323,motorway_junction,,,,,,-96.7525549,43.5018792,,,
,783,80644314,,,,,,,-96.7498091,43.5023405,,,
,784,80641602,,,,,,,-96.694921,43.563144,,,
,785,2456530652,,,,,,,-96.6949977,43.5635609,,,
,786,80644412,motorway_junction,,,,,,-96.780604,43.5189253,,,
,787,2445461661,,,,,,,-96.7811147,43.5163988,,,
,788,2451211066,motorway_junction,,,,,,-96.7011762,43.5289618,,,
,789,80644741,,,,,,,-96.703074,43.5284491,,,
,790,10275900269,,,,,,,-96.7032305,43.5292215,,,
,791,8450869026,,,,,,,-96.7032333,43.529324,,,
,792,80644773,motorway_junction,,,,,,-96.7166663,43.6056908,,,
,793,5218726559,,,,,,,-96.7128385,43.6052817,,,
,794,1360596399,motorway_junction,,,,,,-96.7710539,43.6128721,,,
,795,1360596386,,,,,,,-96.7706691,43.6130492,,,
,796,1360596346,motorway_junction,,,,,,-96.7700349,43.6130372,,,
,797,616070039,,,,,,,-96.7697315,43.6128738,,,
,798,1360596151,motorway_junction,,,,,,-96.7641347,43.6128876,,,
,799,1360596181,,,,,,,-96.7696909,43.6169775,,,
,800,80645480,,,,,,,-96.6214006,43.531044,,,
,801,80645579,,,,,,,-96.7777378,43.5085424,,,
,802,80645581,,,,,,,-96.7777283,43.5075744,,,
,803,80645737,,,,,,,-96.6435226,43.5585347,,,
,804,80645739,,,,,,,-96.643487,43.556588,,,
,805,80641574,,,,,,,-96.6936653,43.546235,,,
,806,2458750803,,,,,,,-96.6932186,43.5466274,,,
,807,1360596164,motorway_junction,,,,,,-96.7706287,43.6172867,,,
,808,504669434,,,,,,,-96.7765304,43.6128188,,,
,809,4423084501,motorway_junction,,,,,,-96.7777936,43.5727959,,,
,810,80645973,,,,,,,-96.7784785,43.5672614,,,
,811,80646164,motorway_junction,,,,,,-96.6916653,43.6067278,,,
,812,80646106,,,,,,,-96.6909138,43.6069541,,,
,813,80644096,,,,,,,-96.7703655,43.5865692,,,
,814,80646199,,,,,,,-96.7699272,43.5873722,,,
,816,80647182,,,,,,,-96.7756111,43.5085463,,,
,817,80647187,,,,,,,-96.669983,43.560048,,,
,818,80647195,turning_circle,,,,,,-96.67028,43.559098,,,
,819,80647200,,,,,,,-96.8202036,43.5071479,,,
,820,1341476717,,,,,,,-96.820208,43.5063518,,,
,821,1350987959,,,,,,,-96.8202037,43.505541,,,
,822,80647202,,,,,,,-96.8201995,43.5047342,,,
,823,80647204,,,,,,,-96.8201983,43.5037909,,,
,824,80647210,,,,,,,-96.8202158,43.5022681,,,
,825,80647216,,,,,,,-96.784162,43.5438143,,,
,826,80647218,,,,,,,-96.784112,43.542396,,,
,827,80647220,,,,,,,-96.784117,43.541807,,,
,828,80647221,,,,,,,-96.78412,43.541692,,,
,829,80647225,,,,,,,-96.784106,43.541187,,,
,830,80647227,,,,,,,-96.784114,43.540994,,,
,831,80647229,,,,,,,-96.784106,43.540573,,,
,832,80647231,,,,,,,-96.784104,43.540247,,,
,833,80647264,,,,,,,-96.78354,43.537124,,,
,834,80647241,,,,,,,-96.783554,43.537742,,,
,835,80647252,,,,,,,-96.783965,43.537887,,,
,836,80647254,,,,,,,-96.783998,43.538389,,,
,837,80647259,,,,,,,-96.784341,43.539763,,,
,838,80647260,,,,,,,-96.784339,43.538398,,,
,839,80646194,,,,,,,-96.719897,43.606571,,,
,840,80647269,,,,,,,-96.717909,43.606377,,,
,841,80647287,,,,,,,-96.713614,43.606578,,,
,842,80647293,,,,,,,-96.675919,43.546632,,,
,843,80647301,,,,,,,-96.674314,43.547081,,,
,844,80647311,,,,,,,-96.673612,43.547552,,,
,845,80647313,,,,,,,-96.673608,43.548474,,,
,846,80647328,,,,,,,-96.6715345,43.5493632,,,
,847,80647336,,,,,,,-96.6513332,43.5346574,,,
,848,80647340,,,,,,,-96.6513492,43.5366603,,,
,849,1375318307,,,,,,,-96.6515307,43.5391791,,,
,852,2458997414,,,,,,,-96.6513614,43.5063308,,,
,853,80647470,,,,,,,-96.65133,43.5300167,,,
,854,80647472,turning_circle,,,,,,-96.6513989,43.5297284,,,
,855,80647525,,,,,,,-96.636452,43.550933,,,
,856,80647526,,,,,,,-96.636439,43.551474,,,
,857,80647528,,,,,,,-96.636917,43.55388,,,
,858,80647529,,,,,,,-96.7113698,43.5837627,,,
,859,8348738089,,,,,,,-96.70893,43.5837433,,,
,860,80647534,,,,,,,-96.703902,43.583836,,,
,861,80647535,,,,,,,-96.7013952,43.5838318,,,
,862,80647537,,,,,,,-96.699172,43.583817,,,
,863,80647543,,,,,,,-96.695237,43.583802,,,
,864,80647548,,,,,,,-96.7262812,43.5234018,,,
,865,80647550,,,,,,,-96.72528,43.5233878,,,
,866,80647552,,,,,,,-96.7238182,43.5233808,,,
,867,80647554,,,,,,,-96.7224333,43.5233829,,,
,868,80647556,,,,,,,-96.7210478,43.5233745,,,
,869,80647561,,,,,,,-96.718629,43.522872,,,
,870,80647562,,,,,,,-96.716861,43.522884,,,
,871,80647574,,,,,,,-96.7152175,43.5221218,,,
,872,80647575,,,,,,,-96.708405,43.5233828,,,
,873,80647583,,,,,,,-96.7068297,43.5230082,,,
,874,80647585,,,,,,,-96.7062775,43.5230063,,,
,875,80647589,,,,,,,-96.705594,43.52303,,,
,876,80647591,,,,,,,-96.705074,43.522896,,,
,877,10941635383,,,,,,,-96.6701626,43.5391024,,,
,878,80647823,,,,,,,-96.6701838,43.5383978,,,
,879,80647872,,,,,,,-96.6635631,43.5179291,,,
,880,80647874,,,,,,,-96.6635638,43.5154382,,,
,881,80647876,,,,,,,-96.663571,43.514826,,,
,882,80647881,,,,,,,-96.663424,43.51422,,,
,883,80647889,,,,,,,-96.663395,43.511736,,,
,884,80647918,,,,,,,-96.6896474,43.5356895,,,
,885,80739186,,,,,,,-96.6857745,43.5359987,,,
,886,80647938,,,,,,,-96.6979847,43.5357283,,,
,887,1375429993,,,,,,,-96.694305,43.5366594,,,
,888,1375429991,,,,,,,-96.6914138,43.5355497,,,
,889,80647961,,,,,,,-96.689936,43.5358821,,,
,890,80647967,,,,,,,-96.670224,43.5357348,,,
,891,4805199710,,,,,,,-96.6714262,43.5357449,,,
,892,4805199709,,,,,,,-96.6739579,43.5357578,,,
,893,80647976,,,,,,,-96.706336,43.534955,,,
,894,80647978,,,,,,,-96.7051795,43.5349472,,,
,895,80647980,,,,,,,-96.7042648,43.5349453,,,
,896,80647982,,,,,,,-96.7033491,43.5349375,,,
,897,80647984,,,,,,,-96.7025498,43.5349312,,,
,898,80647988,,,,,,,-96.679235,43.535896,,,
,899,80647990,,,,,,,-96.676648,43.535882,,,
,900,80648154,,,,,,,-96.7078908,43.5782588,,,
,901,80648155,,,,,,,-96.708494,43.57828,,,
,902,80648156,,,,,,,-96.710607,43.578189,,,
,903,80648157,turning_circle,,,,,,-96.710108,43.5781842,,,
,904,1796408536,,,,,,,-96.6813618,43.5040312,,,
,905,1796408539,,,,,,,-96.6786309,43.5041408,,,
,906,80648169,,,,,,,-96.6779517,43.504331,,,
,907,80648201,,,,,,,-96.764363,43.520828,,,
,908,7650937850,,,,,,,-96.7660075,43.5212298,,,
,909,80649671,,,,,,,-96.8228762,43.5393919,,,
,910,1341640381,,,,,,,-96.8234695,43.5371486,,,
,911,80649681,,,,,,,-96.6904652,43.5102032,,,
,912,80649697,,,,,,,-96.691594,43.512129,,,
,913,80649698,turning_circle,,,,,,-96.6916105,43.5123703,,,
,914,80649702,,,,,,,-96.709375,43.51039,,,
,915,80649725,,,,,,,-96.704601,43.508595,,,
,916,80649728,,,,,,,-96.814209,43.528348,,,
,917,80649733,,,,,,,-96.812904,43.527464,,,
,918,80649740,,,,,,,-96.813248,43.523519,,,
,919,80649753,,,,,,,-96.811392,43.523971,,,
,920,80649759,,,,,,,-96.8048186,43.5293276,,,
,921,80649760,turning_circle,,,,,,-96.804799,43.528556,,,
,922,80649777,,,,,,,-96.793993,43.52478,,,
,923,80649790,,,,,,,-96.794319,43.523817,,,
,924,80649792,,,,,,,-96.794315,43.522491,,,
,925,80649826,,,,,,,-96.729853,43.556444,,,
,928,80649830,,,,,,,-96.7328564,43.5564335,,,
,929,80649832,,,,,,,-96.7343268,43.5564248,,,
,930,80649834,,,,,,,-96.73581,43.5564242,,,
,931,80649835,,,,,,,-96.7371178,43.5564181,,,
,932,80649836,,,,,,,-96.7385344,43.5564162,,,
,933,3066140886,,,,,,,-96.7399516,43.5564146,,,
,934,80649841,,,,,,,-96.7405795,43.5564128,,,
,935,2457649285,,,,,,,-96.7406997,43.5564123,,,
,936,3066140887,,,,,,,-96.7412847,43.5564096,,,
,937,80649847,,,,,,,-96.756244,43.556603,,,
