name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes,geometry,out_degree,in_degree,degree
,3539,80647442,,,,,,,-96.6518353,43.5323826,,,,POINT(-96.6518353 43.5323826),2.0,2.0,4.0
,3540,80729692,,,,,,,-96.6969247,43.5075414,,,,POINT(-96.6969247 43.5075414),4.0,4.0,8.0
,3541,80729701,,,,,,,-96.696819,43.504354,,,,POINT(-96.696819 43.504354),4.0,4.0,8.0
,3542,80729713,,,,,,,-96.696939,43.502764,,,,POINT(-96.696939 43.502764),4.0,4.0,8.0
,3543,80729724,,,,,,,-96.7088686,43.5430383,,,,POINT(-96.7088686 43.5430383),2.0,2.0,4.0
,3544,80729726,,,,,,,-96.7076243,43.5430344,,,,POINT(-96.7076243 43.5430344),4.0,4.0,8.0
,3545,80678758,,,,,,,-96.7063829,43.5430391,,,,POINT(-96.7063829 43.5430391),3.0,3.0,6.0
,3546,80729733,,,,,,,-96.693389,43.543035,,,,POINT(-96.693389 43.543035),1.0,1.0,2.0
,3547,80729735,,,,,,,-96.692688,43.543035,,,,POINT(-96.692688 43.543035),4.0,4.0,8.0
,3548,1375430084,,,,,,,-96.6914415,43.5430322,,,,POINT(-96.6914415 43.5430322),3.0,3.0,6.0
,3549,80729738,,,,,,,-96.696414,43.543043,,,,POINT(-96.696414 43.543043),4.0,4.0,8.0
,3550,80692514,,,,,,,-96.695165,43.543038,,,,POINT(-96.695165 43.543038),3.0,3.0,6.0
,3551,1375430085,,,,,,,-96.6914417,43.543105,,,,POINT(-96.6914417 43.543105),3.0,3.0,6.0
,3552,80729743,,,,,,,-96.688954,43.543115,,,,POINT(-96.688954 43.543115),3.0,3.0,6.0
,3553,80729747,,,,,,,-96.795854,43.542962,,,,POINT(-96.795854 43.542962),1.0,1.0,2.0
,3554,80729751,,,,,,,-96.708948,43.525572,,,,POINT(-96.708948 43.525572),3.0,3.0,6.0
,3555,80729753,,,,,,,-96.70809,43.52509,,,,POINT(-96.70809 43.52509),3.0,3.0,6.0
,3556,80729755,,,,,,,-96.707523,43.524805,,,,POINT(-96.707523 43.524805),3.0,3.0,6.0
,3557,80729760,,,,,,,-96.708452,43.524622,,,,POINT(-96.708452 43.524622),3.0,3.0,6.0
,3558,2244946508,,,,,,,-96.8263502,43.5329364,,,,POINT(-96.8263502 43.5329364),4.0,4.0,8.0
,3559,1341640358,,,,,,,-96.8263475,43.529885,,,,POINT(-96.8263475 43.529885),4.0,4.0,8.0
,3560,80729781,,,,,,,-96.826347,43.529301,,,,POINT(-96.826347 43.529301),4.0,4.0,8.0
,3561,80729787,,,,,,,-96.8263576,43.5261077,,,,POINT(-96.8263576 43.5261077),4.0,4.0,8.0
,3562,4387303310,,,,,,,-96.8263859,43.5252756,,,,POINT(-96.8263859 43.5252756),3.0,3.0,6.0
