ozone_id,geometry,generalized_cost,cost,travel_time,penalty
1,POINT (-96.712374 43.5086245),54.06434062581027,2.0172413793103448,49.22296131546544,37.241379310344826
2,POINT (-96.6975434 43.5483445),43.44293962158545,2.3275862068965516,37.85673272503373,30.0
3,POINT (-96.7258222 43.5837376),59.01980591351083,2.8448275862068964,52.19221970661427,30.0
4,POINT (-96.7246004 43.5379766),35.30498183608115,1.293103448275862,32.201533560219076,31.03448275862069
5,POINT (-96.720316 43.5178054),40.83511634020156,2.0172413793103448,35.99373702985673,31.03448275862069
6,POINT (-96.7079476 43.5608629),44.96054739125289,2.4827586206896552,39.00192670159772,31.03448275862069
7,POINT (-96.6859654 43.541765),45.94284200516276,2.3793103448275863,40.232497177576555,30.0
8,POINT (-96.6693704 43.5503127),52.29559792846644,2.3793103448275863,46.58525310088024,32.06896551724138
9,POINT (-96.8154082 43.5075375),76.61372305457363,3.103448275862069,69.16544719250466,49.6551724137931
10,POINT (-96.7900651 43.5244033),47.405466552661636,2.2241379310344827,42.06753551817888,33.10344827586207
11,POINT (-96.6737002 43.5265206),54.20185811587802,2.4310344827586206,48.36737535725733,34.13793103448276
13,POINT (-96.745258 43.5269123),43.64875077578239,1.8620689655172413,39.17978525854102,34.13793103448276
14,POINT (-96.7148388 43.5451788),36.150217196981586,1.2413793103448276,33.170906852154005,30.0
15,POINT (-96.7529471 43.5451725),40.19109900075234,2.4310344827586206,34.35661624213164,31.03448275862069
16,POINT (-96.7606216 43.5283122),45.41381563886353,2.1206896551724137,40.32416046644974,34.13793103448276
17,POINT (-96.7215409 43.5279237),41.36431507424876,1.706896551724138,37.267763350110826,32.06896551724138
18,POINT (-96.7068364 43.5270177),48.0782962988286,1.5,44.478296298828596,39.310344827586206
20,POINT (-96.7447999 43.5544923),51.310996956597506,2.3793103448275863,45.6006521290113,31.03448275862069
21,POINT (-96.7814625 43.591029),79.30521390829142,2.7413793103448274,72.72590356346383,32.06896551724138
22,POINT (-96.7683441 43.5553944),52.29712559148758,2.2241379310344827,46.95919455700482,33.10344827586207
24,POINT (-96.7917235 43.5082124),66.33399367743924,2.2241379310344827,60.996062642956474,52.758620689655174
25,POINT (-96.7869387 43.5375821),54.910809721230414,2.1206896551724137,49.82115454881662,32.06896551724138
26,POINT (-96.6638811 43.5371365),49.19409278197006,2.4827586206896552,43.23547209231489,30.0
27,POINT (-96.7672945 43.5032905),51.5695370728135,2.0689655172413794,46.604019831434194,31.03448275862069
28,POINT (-96.7719045 43.5216706),50.488173008986735,2.1724137931034484,45.27437990553845,33.10344827586207
31,POINT (-96.7375061 43.5458863),38.51725250704498,1.3448275862068966,35.289666300148426,30.0
32,POINT (-96.822185 43.5232971),82.15465614774051,3.103448275862069,74.70638028567156,49.6551724137931
33,POINT (-96.7380764 43.5157684),44.69630694351828,1.9655172413793103,39.979065564207936,32.06896551724138
34,POINT (-96.727535 43.5453421),30.25011972948688,1.3448275862068966,27.022533522590333,30.0
35,POINT (-96.7362052 43.5344669),38.81972043793742,1.1379310344827587,36.0886859551788,32.06896551724138
