param,value
34_agency1_equity_gap,"tf.Tensor(-1.4841324e-05, shape=(), dtype=float32)"
34_agency1_TEC_demand,"tf.Tensor(-1.4841324, shape=(), dtype=float32)"
34_agency1_total_subsidy,"tf.Tensor(126.78108, shape=(), dtype=float32)"
34_agency1_adjusted_transit_income,"tf.Tensor(1058.5713, shape=(), dtype=float32)"
34_agency1_equity_change_income,"tf.Tensor(-1.0470903, shape=(), dtype=float32)"
34_agency1_adjusted_transit_revenue,"tf.Tensor(930.7431, shape=(), dtype=float32)"
35_agency1_adjusted_equity_index,"tf.Tensor(0.002865564, shape=(), dtype=float32)"
35_agency1_internal_adjusted_equity_index,"tf.Tensor(0.002865564, shape=(), dtype=float32)"
35_agency1_equity_improvement,"tf.Tensor(0.0007261585, shape=(), dtype=float32)"
35_agency1_equity_gap,"tf.Tensor(7.814029e-06, shape=(), dtype=float32)"
35_agency1_TEC_demand,"tf.Tensor(0.78140295, shape=(), dtype=float32)"
35_agency1_total_subsidy,"tf.Tensor(127.96619, shape=(), dtype=float32)"
35_agency1_adjusted_transit_income,"tf.Tensor(1058.1553, shape=(), dtype=float32)"
35_agency1_equity_change_income,"tf.Tensor(0.55245787, shape=(), dtype=float32)"
35_agency1_adjusted_transit_revenue,"tf.Tensor(930.7415, shape=(), dtype=float32)"
36_agency1_adjusted_equity_index,"tf.Tensor(0.0028881468, shape=(), dtype=float32)"
36_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028881468, shape=(), dtype=float32)"
36_agency1_equity_improvement,"tf.Tensor(0.0007035758, shape=(), dtype=float32)"
36_agency1_equity_gap,"tf.Tensor(-1.4768681e-05, shape=(), dtype=float32)"
36_agency1_TEC_demand,"tf.Tensor(-1.476868, shape=(), dtype=float32)"
36_agency1_total_subsidy,"tf.Tensor(126.7856, shape=(), dtype=float32)"
36_agency1_adjusted_transit_income,"tf.Tensor(1058.5762, shape=(), dtype=float32)"
36_agency1_equity_change_income,"tf.Tensor(-1.0430031, shape=(), dtype=float32)"
36_agency1_adjusted_transit_revenue,"tf.Tensor(930.74756, shape=(), dtype=float32)"
37_agency1_adjusted_equity_index,"tf.Tensor(0.0028656442, shape=(), dtype=float32)"
37_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028656442, shape=(), dtype=float32)"
37_agency1_equity_improvement,"tf.Tensor(0.0007260784, shape=(), dtype=float32)"
37_agency1_equity_gap,"tf.Tensor(7.7339355e-06, shape=(), dtype=float32)"
37_agency1_TEC_demand,"tf.Tensor(0.7733936, shape=(), dtype=float32)"
37_agency1_total_subsidy,"tf.Tensor(127.97128, shape=(), dtype=float32)"
37_agency1_adjusted_transit_income,"tf.Tensor(1058.1603, shape=(), dtype=float32)"
37_agency1_equity_change_income,"tf.Tensor(0.54733306, shape=(), dtype=float32)"
37_agency1_adjusted_transit_revenue,"tf.Tensor(930.7363, shape=(), dtype=float32)"
38_agency1_adjusted_equity_index,"tf.Tensor(0.0028881878, shape=(), dtype=float32)"
38_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028881878, shape=(), dtype=float32)"
38_agency1_equity_improvement,"tf.Tensor(0.0007035348, shape=(), dtype=float32)"
38_agency1_equity_gap,"tf.Tensor(-1.4809659e-05, shape=(), dtype=float32)"
38_agency1_TEC_demand,"tf.Tensor(-1.4809659, shape=(), dtype=float32)"
38_agency1_total_subsidy,"tf.Tensor(126.79142, shape=(), dtype=float32)"
38_agency1_adjusted_transit_income,"tf.Tensor(1058.5815, shape=(), dtype=float32)"
38_agency1_equity_change_income,"tf.Tensor(-1.0469388, shape=(), dtype=float32)"
38_agency1_adjusted_transit_revenue,"tf.Tensor(930.74316, shape=(), dtype=float32)"
39_agency1_adjusted_equity_index,"tf.Tensor(0.0028655715, shape=(), dtype=float32)"
39_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028655715, shape=(), dtype=float32)"
39_agency1_equity_improvement,"tf.Tensor(0.00072615105, shape=(), dtype=float32)"
39_agency1_equity_gap,"tf.Tensor(7.806579e-06, shape=(), dtype=float32)"
39_agency1_TEC_demand,"tf.Tensor(0.7806579, shape=(), dtype=float32)"
39_agency1_total_subsidy,"tf.Tensor(127.97757, shape=(), dtype=float32)"
39_agency1_adjusted_transit_income,"tf.Tensor(1058.1659, shape=(), dtype=float32)"
39_agency1_equity_change_income,"tf.Tensor(0.5530264, shape=(), dtype=float32)"
39_agency1_adjusted_transit_revenue,"tf.Tensor(930.7414, shape=(), dtype=float32)"
40_agency1_adjusted_equity_index,"tf.Tensor(0.0028882027, shape=(), dtype=float32)"
40_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028882027, shape=(), dtype=float32)"
40_agency1_equity_improvement,"tf.Tensor(0.0007035199, shape=(), dtype=float32)"
40_agency1_equity_gap,"tf.Tensor(-1.482456e-05, shape=(), dtype=float32)"
40_agency1_TEC_demand,"tf.Tensor(-1.482456, shape=(), dtype=float32)"
40_agency1_total_subsidy,"tf.Tensor(126.79859, shape=(), dtype=float32)"
40_agency1_adjusted_transit_income,"tf.Tensor(1058.5875, shape=(), dtype=float32)"
40_agency1_equity_change_income,"tf.Tensor(-1.0490304, shape=(), dtype=float32)"
40_agency1_adjusted_transit_revenue,"tf.Tensor(930.7399, shape=(), dtype=float32)"
41_agency1_adjusted_equity_index,"tf.Tensor(0.0028655864, shape=(), dtype=float32)"
41_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028655864, shape=(), dtype=float32)"
41_agency1_equity_improvement,"tf.Tensor(0.00072613615, shape=(), dtype=float32)"
41_agency1_equity_gap,"tf.Tensor(7.7916775e-06, shape=(), dtype=float32)"
41_agency1_TEC_demand,"tf.Tensor(0.7791678, shape=(), dtype=float32)"
41_agency1_total_subsidy,"tf.Tensor(127.98512, shape=(), dtype=float32)"
41_agency1_adjusted_transit_income,"tf.Tensor(1058.1721, shape=(), dtype=float32)"
41_agency1_equity_change_income,"tf.Tensor(0.5525176, shape=(), dtype=float32)"
41_agency1_adjusted_transit_revenue,"tf.Tensor(930.7395, shape=(), dtype=float32)"
42_agency1_adjusted_equity_index,"tf.Tensor(0.0028880704, shape=(), dtype=float32)"
42_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028880704, shape=(), dtype=float32)"
42_agency1_equity_improvement,"tf.Tensor(0.00070365216, shape=(), dtype=float32)"
42_agency1_equity_gap,"tf.Tensor(-1.4692312e-05, shape=(), dtype=float32)"
42_agency1_TEC_demand,"tf.Tensor(-1.4692312, shape=(), dtype=float32)"
42_agency1_total_subsidy,"tf.Tensor(126.80725, shape=(), dtype=float32)"
42_agency1_adjusted_transit_income,"tf.Tensor(1058.5942, shape=(), dtype=float32)"
42_agency1_equity_change_income,"tf.Tensor(-1.0407054, shape=(), dtype=float32)"
42_agency1_adjusted_transit_revenue,"tf.Tensor(930.7463, shape=(), dtype=float32)"
43_agency1_adjusted_equity_index,"tf.Tensor(0.0028655417, shape=(), dtype=float32)"
43_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028655417, shape=(), dtype=float32)"
43_agency1_equity_improvement,"tf.Tensor(0.00072618085, shape=(), dtype=float32)"
43_agency1_equity_gap,"tf.Tensor(7.836381e-06, shape=(), dtype=float32)"
43_agency1_TEC_demand,"tf.Tensor(0.7836381, shape=(), dtype=float32)"
43_agency1_total_subsidy,"tf.Tensor(127.99412, shape=(), dtype=float32)"
43_agency1_adjusted_transit_income,"tf.Tensor(1058.179, shape=(), dtype=float32)"
43_agency1_equity_change_income,"tf.Tensor(0.55622834, shape=(), dtype=float32)"
43_agency1_adjusted_transit_revenue,"tf.Tensor(930.741, shape=(), dtype=float32)"
44_agency1_adjusted_equity_index,"tf.Tensor(0.00288805, shape=(), dtype=float32)"
44_agency1_internal_adjusted_equity_index,"tf.Tensor(0.00288805, shape=(), dtype=float32)"
44_agency1_equity_improvement,"tf.Tensor(0.00070367265, shape=(), dtype=float32)"
44_agency1_equity_gap,"tf.Tensor(-1.4671823e-05, shape=(), dtype=float32)"
44_agency1_TEC_demand,"tf.Tensor(-1.4671823, shape=(), dtype=float32)"
44_agency1_total_subsidy,"tf.Tensor(126.81763, shape=(), dtype=float32)"
44_agency1_adjusted_transit_income,"tf.Tensor(1058.6019, shape=(), dtype=float32)"
44_agency1_equity_change_income,"tf.Tensor(-1.0402601, shape=(), dtype=float32)"
44_agency1_adjusted_transit_revenue,"tf.Tensor(930.744, shape=(), dtype=float32)"
45_agency1_adjusted_equity_index,"tf.Tensor(0.0028654616, shape=(), dtype=float32)"
45_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028654616, shape=(), dtype=float32)"
45_agency1_equity_improvement,"tf.Tensor(0.00072626094, shape=(), dtype=float32)"
45_agency1_equity_gap,"tf.Tensor(7.916475e-06, shape=(), dtype=float32)"
45_agency1_TEC_demand,"tf.Tensor(0.7916475, shape=(), dtype=float32)"
45_agency1_total_subsidy,"tf.Tensor(128.00476, shape=(), dtype=float32)"
45_agency1_adjusted_transit_income,"tf.Tensor(1058.1868, shape=(), dtype=float32)"
45_agency1_equity_change_income,"tf.Tensor(0.5624545, shape=(), dtype=float32)"
45_agency1_adjusted_transit_revenue,"tf.Tensor(930.74445, shape=(), dtype=float32)"
46_agency1_adjusted_equity_index,"tf.Tensor(0.0028880239, shape=(), dtype=float32)"
46_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028880239, shape=(), dtype=float32)"
46_agency1_equity_improvement,"tf.Tensor(0.0007036987, shape=(), dtype=float32)"
46_agency1_equity_gap,"tf.Tensor(-1.4645746e-05, shape=(), dtype=float32)"
46_agency1_TEC_demand,"tf.Tensor(-1.4645746, shape=(), dtype=float32)"
46_agency1_total_subsidy,"tf.Tensor(126.83011, shape=(), dtype=float32)"
46_agency1_adjusted_transit_income,"tf.Tensor(1058.6105, shape=(), dtype=float32)"
46_agency1_equity_change_income,"tf.Tensor(-1.0394006, shape=(), dtype=float32)"
46_agency1_adjusted_transit_revenue,"tf.Tensor(930.74097, shape=(), dtype=float32)"
47_agency1_adjusted_equity_index,"tf.Tensor(0.0028654374, shape=(), dtype=float32)"
47_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028654374, shape=(), dtype=float32)"
47_agency1_equity_improvement,"tf.Tensor(0.00072628516, shape=(), dtype=float32)"
47_agency1_equity_gap,"tf.Tensor(7.940689e-06, shape=(), dtype=float32)"
47_agency1_TEC_demand,"tf.Tensor(0.79406893, shape=(), dtype=float32)"
47_agency1_total_subsidy,"tf.Tensor(128.01746, shape=(), dtype=float32)"
47_agency1_adjusted_transit_income,"tf.Tensor(1058.1953, shape=(), dtype=float32)"
47_agency1_equity_change_income,"tf.Tensor(0.5647093, shape=(), dtype=float32)"
47_agency1_adjusted_transit_revenue,"tf.Tensor(930.74255, shape=(), dtype=float32)"
48_agency1_adjusted_equity_index,"tf.Tensor(0.0028879065, shape=(), dtype=float32)"
48_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028879065, shape=(), dtype=float32)"
48_agency1_equity_improvement,"tf.Tensor(0.00070381607, shape=(), dtype=float32)"
48_agency1_equity_gap,"tf.Tensor(-1.4528399e-05, shape=(), dtype=float32)"
48_agency1_TEC_demand,"tf.Tensor(-1.45284, shape=(), dtype=float32)"
48_agency1_total_subsidy,"tf.Tensor(126.84537, shape=(), dtype=float32)"
48_agency1_adjusted_transit_income,"tf.Tensor(1058.6204, shape=(), dtype=float32)"
48_agency1_equity_change_income,"tf.Tensor(-1.0320467, shape=(), dtype=float32)"
48_agency1_adjusted_transit_revenue,"tf.Tensor(930.743, shape=(), dtype=float32)"
49_agency1_adjusted_equity_index,"tf.Tensor(0.0028653368, shape=(), dtype=float32)"
49_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028653368, shape=(), dtype=float32)"
49_agency1_equity_improvement,"tf.Tensor(0.00072638574, shape=(), dtype=float32)"
49_agency1_equity_gap,"tf.Tensor(8.041272e-06, shape=(), dtype=float32)"
49_agency1_TEC_demand,"tf.Tensor(0.8041272, shape=(), dtype=float32)"
49_agency1_total_subsidy,"tf.Tensor(128.03291, shape=(), dtype=float32)"
49_agency1_adjusted_transit_income,"tf.Tensor(1058.2053, shape=(), dtype=float32)"
49_agency1_equity_change_income,"tf.Tensor(0.5723921, shape=(), dtype=float32)"
49_agency1_adjusted_transit_revenue,"tf.Tensor(930.7448, shape=(), dtype=float32)"
50_agency1_adjusted_equity_index,"tf.Tensor(0.0028878506, shape=(), dtype=float32)"
50_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028878506, shape=(), dtype=float32)"
50_agency1_equity_improvement,"tf.Tensor(0.00070387195, shape=(), dtype=float32)"
50_agency1_equity_gap,"tf.Tensor(-1.447252e-05, shape=(), dtype=float32)"
50_agency1_TEC_demand,"tf.Tensor(-1.447252, shape=(), dtype=float32)"
50_agency1_total_subsidy,"tf.Tensor(126.86452, shape=(), dtype=float32)"
50_agency1_adjusted_transit_income,"tf.Tensor(1058.6322, shape=(), dtype=float32)"
50_agency1_equity_change_income,"tf.Tensor(-1.029016, shape=(), dtype=float32)"
50_agency1_adjusted_transit_revenue,"tf.Tensor(930.7387, shape=(), dtype=float32)"
51_agency1_adjusted_equity_index,"tf.Tensor(0.0028652698, shape=(), dtype=float32)"
51_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028652698, shape=(), dtype=float32)"
51_agency1_equity_improvement,"tf.Tensor(0.0007264528, shape=(), dtype=float32)"
51_agency1_equity_gap,"tf.Tensor(8.108327e-06, shape=(), dtype=float32)"
51_agency1_TEC_demand,"tf.Tensor(0.81083274, shape=(), dtype=float32)"
51_agency1_total_subsidy,"tf.Tensor(128.05226, shape=(), dtype=float32)"
51_agency1_adjusted_transit_income,"tf.Tensor(1058.217, shape=(), dtype=float32)"
51_agency1_equity_change_income,"tf.Tensor(0.5776866, shape=(), dtype=float32)"
51_agency1_adjusted_transit_revenue,"tf.Tensor(930.7425, shape=(), dtype=float32)"
52_agency1_adjusted_equity_index,"tf.Tensor(0.0028877277, shape=(), dtype=float32)"
52_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028877277, shape=(), dtype=float32)"
52_agency1_equity_improvement,"tf.Tensor(0.0007039949, shape=(), dtype=float32)"
52_agency1_equity_gap,"tf.Tensor(-1.4349585e-05, shape=(), dtype=float32)"
52_agency1_TEC_demand,"tf.Tensor(-1.4349586, shape=(), dtype=float32)"
52_agency1_total_subsidy,"tf.Tensor(126.88966, shape=(), dtype=float32)"
52_agency1_adjusted_transit_income,"tf.Tensor(1058.6469, shape=(), dtype=float32)"
52_agency1_equity_change_income,"tf.Tensor(-1.0211885, shape=(), dtype=float32)"
52_agency1_adjusted_transit_revenue,"tf.Tensor(930.736, shape=(), dtype=float32)"
53_agency1_adjusted_equity_index,"tf.Tensor(0.002865063, shape=(), dtype=float32)"
53_agency1_internal_adjusted_equity_index,"tf.Tensor(0.002865063, shape=(), dtype=float32)"
53_agency1_equity_improvement,"tf.Tensor(0.00072665955, shape=(), dtype=float32)"
53_agency1_equity_gap,"tf.Tensor(8.315081e-06, shape=(), dtype=float32)"
53_agency1_TEC_demand,"tf.Tensor(0.8315081, shape=(), dtype=float32)"
53_agency1_total_subsidy,"tf.Tensor(128.0776, shape=(), dtype=float32)"
53_agency1_adjusted_transit_income,"tf.Tensor(1058.2319, shape=(), dtype=float32)"
53_agency1_equity_change_income,"tf.Tensor(0.59293604, shape=(), dtype=float32)"
53_agency1_adjusted_transit_revenue,"tf.Tensor(930.74725, shape=(), dtype=float32)"
54_agency1_adjusted_equity_index,"tf.Tensor(0.0028648973, shape=(), dtype=float32)"
54_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028648973, shape=(), dtype=float32)"
54_agency1_equity_improvement,"tf.Tensor(0.0007268253, shape=(), dtype=float32)"
54_agency1_equity_gap,"tf.Tensor(8.480856e-06, shape=(), dtype=float32)"
54_agency1_TEC_demand,"tf.Tensor(0.84808564, shape=(), dtype=float32)"
54_agency1_total_subsidy,"tf.Tensor(128.11319, shape=(), dtype=float32)"
54_agency1_adjusted_transit_income,"tf.Tensor(1058.2515, shape=(), dtype=float32)"
54_agency1_equity_change_income,"tf.Tensor(0.604052, shape=(), dtype=float32)"
54_agency1_adjusted_transit_revenue,"tf.Tensor(930.7424, shape=(), dtype=float32)"
55_agency1_adjusted_equity_index,"tf.Tensor(0.0028873794, shape=(), dtype=float32)"
55_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028873794, shape=(), dtype=float32)"
55_agency1_equity_improvement,"tf.Tensor(0.0007043432, shape=(), dtype=float32)"
55_agency1_equity_gap,"tf.Tensor(-1.4001271e-05, shape=(), dtype=float32)"
55_agency1_TEC_demand,"tf.Tensor(-1.400127, shape=(), dtype=float32)"
55_agency1_total_subsidy,"tf.Tensor(126.94594, shape=(), dtype=float32)"
55_agency1_adjusted_transit_income,"tf.Tensor(1058.6792, shape=(), dtype=float32)"
55_agency1_equity_change_income,"tf.Tensor(-0.9960581, shape=(), dtype=float32)"
55_agency1_adjusted_transit_revenue,"tf.Tensor(930.73724, shape=(), dtype=float32)"
56_agency1_adjusted_equity_index,"tf.Tensor(0.0028871242, shape=(), dtype=float32)"
56_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028871242, shape=(), dtype=float32)"
56_agency1_equity_improvement,"tf.Tensor(0.0007045984, shape=(), dtype=float32)"
56_agency1_equity_gap,"tf.Tensor(-1.3746088e-05, shape=(), dtype=float32)"
56_agency1_TEC_demand,"tf.Tensor(-1.3746089, shape=(), dtype=float32)"
56_agency1_total_subsidy,"tf.Tensor(126.97189, shape=(), dtype=float32)"
56_agency1_adjusted_transit_income,"tf.Tensor(1058.6943, shape=(), dtype=float32)"
56_agency1_equity_change_income,"tf.Tensor(-0.97982895, shape=(), dtype=float32)"
56_agency1_adjusted_transit_revenue,"tf.Tensor(930.74255, shape=(), dtype=float32)"
57_agency1_adjusted_equity_index,"tf.Tensor(0.0028645955, shape=(), dtype=float32)"
57_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028645955, shape=(), dtype=float32)"
57_agency1_equity_improvement,"tf.Tensor(0.0007271271, shape=(), dtype=float32)"
57_agency1_equity_gap,"tf.Tensor(8.782605e-06, shape=(), dtype=float32)"
57_agency1_TEC_demand,"tf.Tensor(0.8782605, shape=(), dtype=float32)"
57_agency1_total_subsidy,"tf.Tensor(128.16019, shape=(), dtype=float32)"
57_agency1_adjusted_transit_income,"tf.Tensor(1058.2793, shape=(), dtype=float32)"
57_agency1_equity_change_income,"tf.Tensor(0.62723625, shape=(), dtype=float32)"
57_agency1_adjusted_transit_revenue,"tf.Tensor(930.7464, shape=(), dtype=float32)"
58_agency1_adjusted_equity_index,"tf.Tensor(0.002886571, shape=(), dtype=float32)"
58_agency1_internal_adjusted_equity_index,"tf.Tensor(0.002886571, shape=(), dtype=float32)"
58_agency1_equity_improvement,"tf.Tensor(0.0007051516, shape=(), dtype=float32)"
58_agency1_equity_gap,"tf.Tensor(-1.3192883e-05, shape=(), dtype=float32)"
58_agency1_TEC_demand,"tf.Tensor(-1.3192883, shape=(), dtype=float32)"
58_agency1_total_subsidy,"tf.Tensor(127.065674, shape=(), dtype=float32)"
58_agency1_adjusted_transit_income,"tf.Tensor(1058.7427, shape=(), dtype=float32)"
58_agency1_equity_change_income,"tf.Tensor(-0.9410509, shape=(), dtype=float32)"
58_agency1_adjusted_transit_revenue,"tf.Tensor(930.73596, shape=(), dtype=float32)"
59_agency1_adjusted_equity_index,"tf.Tensor(0.0028639026, shape=(), dtype=float32)"
59_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028639026, shape=(), dtype=float32)"
59_agency1_equity_improvement,"tf.Tensor(0.00072782, shape=(), dtype=float32)"
59_agency1_equity_gap,"tf.Tensor(9.475509e-06, shape=(), dtype=float32)"
59_agency1_TEC_demand,"tf.Tensor(0.9475509, shape=(), dtype=float32)"
59_agency1_total_subsidy,"tf.Tensor(128.25438, shape=(), dtype=float32)"
59_agency1_adjusted_transit_income,"tf.Tensor(1058.3271, shape=(), dtype=float32)"
59_agency1_equity_change_income,"tf.Tensor(0.67714, shape=(), dtype=float32)"
59_agency1_adjusted_transit_revenue,"tf.Tensor(930.7499, shape=(), dtype=float32)"
60_agency1_adjusted_equity_index,"tf.Tensor(0.0028857775, shape=(), dtype=float32)"
60_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028857775, shape=(), dtype=float32)"
60_agency1_equity_improvement,"tf.Tensor(0.0007059451, shape=(), dtype=float32)"
60_agency1_equity_gap,"tf.Tensor(-1.2399396e-05, shape=(), dtype=float32)"
60_agency1_TEC_demand,"tf.Tensor(-1.2399396, shape=(), dtype=float32)"
60_agency1_total_subsidy,"tf.Tensor(127.17259, shape=(), dtype=float32)"
60_agency1_adjusted_transit_income,"tf.Tensor(1058.7972, shape=(), dtype=float32)"
60_agency1_equity_change_income,"tf.Tensor(-0.8849123, shape=(), dtype=float32)"
60_agency1_adjusted_transit_revenue,"tf.Tensor(930.73975, shape=(), dtype=float32)"
61_agency1_adjusted_equity_index,"tf.Tensor(0.0028631967, shape=(), dtype=float32)"
61_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028631967, shape=(), dtype=float32)"
61_agency1_equity_improvement,"tf.Tensor(0.0007285259, shape=(), dtype=float32)"
61_agency1_equity_gap,"tf.Tensor(1.0181451e-05, shape=(), dtype=float32)"
61_agency1_TEC_demand,"tf.Tensor(1.0181451, shape=(), dtype=float32)"
61_agency1_total_subsidy,"tf.Tensor(128.36177, shape=(), dtype=float32)"
61_agency1_adjusted_transit_income,"tf.Tensor(1058.3818, shape=(), dtype=float32)"
61_agency1_equity_change_income,"tf.Tensor(0.72788584, shape=(), dtype=float32)"
61_agency1_adjusted_transit_revenue,"tf.Tensor(930.748, shape=(), dtype=float32)"
62_agency1_adjusted_equity_index,"tf.Tensor(0.0028852466, shape=(), dtype=float32)"
62_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028852466, shape=(), dtype=float32)"
62_agency1_equity_improvement,"tf.Tensor(0.0007064759, shape=(), dtype=float32)"
62_agency1_equity_gap,"tf.Tensor(-1.1868542e-05, shape=(), dtype=float32)"
62_agency1_TEC_demand,"tf.Tensor(-1.1868542, shape=(), dtype=float32)"
62_agency1_total_subsidy,"tf.Tensor(127.25192, shape=(), dtype=float32)"
62_agency1_adjusted_transit_income,"tf.Tensor(1058.8385, shape=(), dtype=float32)"
62_agency1_equity_change_income,"tf.Tensor(-0.8472899, shape=(), dtype=float32)"
62_agency1_adjusted_transit_revenue,"tf.Tensor(930.73926, shape=(), dtype=float32)"
63_agency1_adjusted_equity_index,"tf.Tensor(0.0028626248, shape=(), dtype=float32)"
63_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028626248, shape=(), dtype=float32)"
63_agency1_equity_improvement,"tf.Tensor(0.00072909775, shape=(), dtype=float32)"
63_agency1_equity_gap,"tf.Tensor(1.0753283e-05, shape=(), dtype=float32)"
63_agency1_TEC_demand,"tf.Tensor(1.0753284, shape=(), dtype=float32)"
63_agency1_total_subsidy,"tf.Tensor(128.44139, shape=(), dtype=float32)"
63_agency1_adjusted_transit_income,"tf.Tensor(1058.423, shape=(), dtype=float32)"
63_agency1_equity_change_income,"tf.Tensor(0.7689483, shape=(), dtype=float32)"
63_agency1_adjusted_transit_revenue,"tf.Tensor(930.7505, shape=(), dtype=float32)"
64_agency1_adjusted_equity_index,"tf.Tensor(0.0028848331, shape=(), dtype=float32)"
64_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028848331, shape=(), dtype=float32)"
64_agency1_equity_improvement,"tf.Tensor(0.00070688943, shape=(), dtype=float32)"
64_agency1_equity_gap,"tf.Tensor(-1.1455035e-05, shape=(), dtype=float32)"
64_agency1_TEC_demand,"tf.Tensor(-1.1455035, shape=(), dtype=float32)"
64_agency1_total_subsidy,"tf.Tensor(127.31475, shape=(), dtype=float32)"
64_agency1_adjusted_transit_income,"tf.Tensor(1058.8717, shape=(), dtype=float32)"
64_agency1_equity_change_income,"tf.Tensor(-0.8178975, shape=(), dtype=float32)"
64_agency1_adjusted_transit_revenue,"tf.Tensor(930.7391, shape=(), dtype=float32)"
65_agency1_adjusted_equity_index,"tf.Tensor(0.0028622467, shape=(), dtype=float32)"
65_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028622467, shape=(), dtype=float32)"
65_agency1_equity_improvement,"tf.Tensor(0.00072947587, shape=(), dtype=float32)"
65_agency1_equity_gap,"tf.Tensor(1.11314e-05, shape=(), dtype=float32)"
65_agency1_TEC_demand,"tf.Tensor(1.11314, shape=(), dtype=float32)"
65_agency1_total_subsidy,"tf.Tensor(128.50441, shape=(), dtype=float32)"
65_agency1_adjusted_transit_income,"tf.Tensor(1058.456, shape=(), dtype=float32)"
65_agency1_equity_change_income,"tf.Tensor(0.7960649, shape=(), dtype=float32)"
65_agency1_adjusted_transit_revenue,"tf.Tensor(930.74774, shape=(), dtype=float32)"
66_agency1_adjusted_equity_index,"tf.Tensor(0.0028844457, shape=(), dtype=float32)"
66_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028844457, shape=(), dtype=float32)"
66_agency1_equity_improvement,"tf.Tensor(0.00070727686, shape=(), dtype=float32)"
66_agency1_equity_gap,"tf.Tensor(-1.1067605e-05, shape=(), dtype=float32)"
66_agency1_TEC_demand,"tf.Tensor(-1.1067605, shape=(), dtype=float32)"
66_agency1_total_subsidy,"tf.Tensor(127.3654, shape=(), dtype=float32)"
66_agency1_adjusted_transit_income,"tf.Tensor(1058.899, shape=(), dtype=float32)"
66_agency1_equity_change_income,"tf.Tensor(-0.79027057, shape=(), dtype=float32)"
66_agency1_adjusted_transit_revenue,"tf.Tensor(930.74335, shape=(), dtype=float32)"
67_agency1_adjusted_equity_index,"tf.Tensor(0.0028619524, shape=(), dtype=float32)"
67_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028619524, shape=(), dtype=float32)"
67_agency1_equity_improvement,"tf.Tensor(0.00072977017, shape=(), dtype=float32)"
67_agency1_equity_gap,"tf.Tensor(1.1425698e-05, shape=(), dtype=float32)"
67_agency1_TEC_demand,"tf.Tensor(1.1425698, shape=(), dtype=float32)"
67_agency1_total_subsidy,"tf.Tensor(128.55515, shape=(), dtype=float32)"
67_agency1_adjusted_transit_income,"tf.Tensor(1058.4829, shape=(), dtype=float32)"
67_agency1_equity_change_income,"tf.Tensor(0.8171044, shape=(), dtype=float32)"
67_agency1_adjusted_transit_revenue,"tf.Tensor(930.7448, shape=(), dtype=float32)"
68_agency1_adjusted_equity_index,"tf.Tensor(0.0028842818, shape=(), dtype=float32)"
68_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028842818, shape=(), dtype=float32)"
68_agency1_equity_improvement,"tf.Tensor(0.0007074408, shape=(), dtype=float32)"
68_agency1_equity_gap,"tf.Tensor(-1.0903692e-05, shape=(), dtype=float32)"
68_agency1_TEC_demand,"tf.Tensor(-1.0903692, shape=(), dtype=float32)"
68_agency1_total_subsidy,"tf.Tensor(127.406975, shape=(), dtype=float32)"
68_agency1_adjusted_transit_income,"tf.Tensor(1058.9218, shape=(), dtype=float32)"
68_agency1_equity_change_income,"tf.Tensor(-0.77852744, shape=(), dtype=float32)"
68_agency1_adjusted_transit_revenue,"tf.Tensor(930.73627, shape=(), dtype=float32)"
69_agency1_adjusted_equity_index,"tf.Tensor(0.0028616898, shape=(), dtype=float32)"
69_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028616898, shape=(), dtype=float32)"
69_agency1_equity_improvement,"tf.Tensor(0.0007300328, shape=(), dtype=float32)"
69_agency1_equity_gap,"tf.Tensor(1.1688331e-05, shape=(), dtype=float32)"
