param,value
7_agency1_equity_improvement,"tf.Tensor(0.00046631764, shape=(), dtype=float32)"
7_agency1_equity_gap,"tf.Tensor(-0.00025202683, shape=(), dtype=float32)"
7_agency1_TEC_demand,"tf.Tensor(-25.202682, shape=(), dtype=float32)"
7_agency1_total_subsidy,"tf.Tensor(91.88193, shape=(), dtype=float32)"
7_agency1_adjusted_transit_income,"tf.Tensor(1038.705, shape=(), dtype=float32)"
7_agency1_equity_change_income,"tf.Tensor(-14.310516, shape=(), dtype=float32)"
7_agency1_adjusted_transit_revenue,"tf.Tensor(932.51245, shape=(), dtype=float32)"
8_agency1_adjusted_equity_index,"tf.Tensor(0.0030767974, shape=(), dtype=float32)"
8_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0030767974, shape=(), dtype=float32)"
8_agency1_equity_improvement,"tf.Tensor(0.0005149252, shape=(), dtype=float32)"
8_agency1_equity_gap,"tf.Tensor(-0.00020341924, shape=(), dtype=float32)"
8_agency1_TEC_demand,"tf.Tensor(-20.341925, shape=(), dtype=float32)"
8_agency1_total_subsidy,"tf.Tensor(97.94508, shape=(), dtype=float32)"
8_agency1_adjusted_transit_income,"tf.Tensor(1041.9333, shape=(), dtype=float32)"
8_agency1_equity_change_income,"tf.Tensor(-12.063165, shape=(), dtype=float32)"
8_agency1_adjusted_transit_revenue,"tf.Tensor(931.9251, shape=(), dtype=float32)"
9_agency1_adjusted_equity_index,"tf.Tensor(0.0030526072, shape=(), dtype=float32)"
9_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0030526072, shape=(), dtype=float32)"
9_agency1_equity_improvement,"tf.Tensor(0.0005391154, shape=(), dtype=float32)"
9_agency1_equity_gap,"tf.Tensor(-0.00017922907, shape=(), dtype=float32)"
9_agency1_TEC_demand,"tf.Tensor(-17.922907, shape=(), dtype=float32)"
9_agency1_total_subsidy,"tf.Tensor(102.97821, shape=(), dtype=float32)"
9_agency1_adjusted_transit_income,"tf.Tensor(1045.5112, shape=(), dtype=float32)"
9_agency1_equity_change_income,"tf.Tensor(-10.993226, shape=(), dtype=float32)"
9_agency1_adjusted_transit_revenue,"tf.Tensor(931.5398, shape=(), dtype=float32)"
10_agency1_adjusted_equity_index,"tf.Tensor(0.003027644, shape=(), dtype=float32)"
10_agency1_internal_adjusted_equity_index,"tf.Tensor(0.003027644, shape=(), dtype=float32)"
10_agency1_equity_improvement,"tf.Tensor(0.00056407857, shape=(), dtype=float32)"
10_agency1_equity_gap,"tf.Tensor(-0.0001542659, shape=(), dtype=float32)"
10_agency1_TEC_demand,"tf.Tensor(-15.42659, shape=(), dtype=float32)"
10_agency1_total_subsidy,"tf.Tensor(107.677826, shape=(), dtype=float32)"
10_agency1_adjusted_transit_income,"tf.Tensor(1048.6716, shape=(), dtype=float32)"
10_agency1_equity_change_income,"tf.Tensor(-9.738569, shape=(), dtype=float32)"
10_agency1_adjusted_transit_revenue,"tf.Tensor(931.2552, shape=(), dtype=float32)"
11_agency1_adjusted_equity_index,"tf.Tensor(0.0029801894, shape=(), dtype=float32)"
11_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0029801894, shape=(), dtype=float32)"
11_agency1_equity_improvement,"tf.Tensor(0.0006115332, shape=(), dtype=float32)"
11_agency1_equity_gap,"tf.Tensor(-0.00010681129, shape=(), dtype=float32)"
11_agency1_TEC_demand,"tf.Tensor(-10.681129, shape=(), dtype=float32)"
11_agency1_total_subsidy,"tf.Tensor(113.84886, shape=(), dtype=float32)"
11_agency1_adjusted_transit_income,"tf.Tensor(1051.8329, shape=(), dtype=float32)"
