epoch,iteration,loss,gap,gradients,complementary,agency_id
0,0,-984.70996,984609.94,32.45229,9.440431616288454e-05,1
0,1,-984.7101,1.2396575e-05,32.352795,0.035196222660488274,1
1,0,-959.87646,2.5219097,24.795462,4.9488127501413475,1
1,1,-960.08777,0.022013634,23.900452,4.763584193348148,1
1,2,-960.30023,0.022129579,24.16213,4.360505768992527,1
1,3,-960.4947,0.02024971,23.272964,4.179639827449051,1
1,4,-960.686,0.019915173,23.542898,3.8097880326654874,1
1,5,-960.85974,0.018087814,22.660746,3.6337008706665244,1
1,6,-961.0299,0.017709767,22.938875,3.295908781395543,1
1,7,-961.18567,0.01620779,22.064268,3.1246074937159793,1
1,8,-961.3351,0.015544767,22.350569,2.817946592812117,1
1,9,-961.47284,0.014329691,21.483665,2.651254635712979,1
1,10,-961.6042,0.013661089,21.778086,2.3749148919317213,1
1,11,-961.7217,0.012218404,20.918905,2.2125648057381304,1
1,12,-961.83417,0.011696502,21.22135,1.9657712006384322,1
1,13,-961.93304,0.010280042,20.370014,1.8074887272868168,1
1,14,-962.0276,0.0098284865,20.68045,1.5895358800685344,1
1,15,-962.1088,0.008444435,19.836958,1.4349746191247903,1
1,16,-962.1853,0.007948898,20.155268,1.2451769935551802,1
1,17,-962.2505,0.0067747394,19.319603,1.0939983478997533,1
1,18,-962.3093,0.006114613,19.645735,0.9316830544495156,1
1,19,-962.3587,0.0051311404,18.81791,0.7835389837662584,1
1,20,-962.399,0.0041858824,19.151752,0.6480438005455417,1
1,21,-962.43195,0.0034246696,18.331694,0.5026026405213176,1
1,22,-962.4551,0.0024035284,18.673182,0.3932674384824774,1
1,23,-962.4749,0.0020610236,17.86101,0.25023077702476,1
1,24,-962.4832,0.00086244126,18.210228,0.16647182902487265,1
2,0,-946.7609,1.6326647,10.924995,2.3221531943081026,1
2,1,-946.9199,0.01679374,11.294957,2.1515871893920835,1
2,2,-947.0686,0.015701607,10.509641,2.000096184892263,1
2,3,-947.2137,0.015318908,10.886937,1.8644826778495276,1
2,4,-947.35187,0.014588429,10.108991,1.7044225502740034,1
2,5,-947.4767,0.013175346,10.493254,1.6029796826249207,1
2,6,-947.6011,0.013128518,9.722645,1.4341703685489442,1
2,7,-947.71094,0.011593833,10.113642,1.366106777956969,1
2,8,-947.8242,0.011953144,9.350437,1.1884362967849704,1
2,9,-947.92065,0.010174412,9.747876,1.1528580015169136,1
2,10,-948.0163,0.010089672,8.99171,0.9663591813404047,1
2,11,-948.097,0.0085112965,9.39486,0.962113734952796,1
2,12,-948.18475,0.009257339,8.64591,0.7671757339300393,1
2,13,-948.2506,0.0069455802,9.053024,0.792583787024931,1
2,14,-948.3251,0.00785266,8.311201,0.5903818883215637,1
2,15,-948.3793,0.0057152575,8.716777,0.6419364396528332,1
2,16,-948.4419,0.0066030617,7.981994,0.4366090570433679,1
2,17,-948.48157,0.00418295,8.340575,0.4976402745210689,1
2,18,-948.53253,0.005373257,7.6132355,0.3173117455700984,1
2,19,-948.5601,0.0029084813,8.033534,0.38684463123073226,1
2,20,-948.6007,0.004278946,7.31312,0.20170527155302764,1
2,21,-948.6168,0.0016986369,7.6981773,0.2837336138393572,1
2,22,-948.64874,0.0033650452,6.9850082,0.11550973977045349,1
2,23,-948.6532,0.00046967503,7.41087,0.2071192977193661,1
3,0,-939.7056,0.9427215,2.0249014,0.759962418114141,1
3,1,-939.8718,0.017686255,2.2209854,0.8072198387772135,1
3,2,-940.0189,0.015650509,3.5611715,0.5855053624350429,1
3,3,-940.1101,0.009700499,3.7628434,0.6655492439619385,1
3,4,-940.2318,0.012945728,3.3558443,0.47863081842025795,1
3,5,-940.3153,0.008880373,3.5527184,0.5385369989262779,1
3,6,-940.4217,0.0113136815,3.1516514,0.385015161428053,1
3,7,-940.498,0.008112738,3.348294,0.4268849136815926,1
3,8,-940.59906,0.010746883,2.9531357,0.30586877558114683,1
3,9,-940.664,0.0069042603,3.1251915,0.32847615871117714,1
3,10,-940.7542,0.00959003,2.73575,0.24227035880691025,1
3,11,-940.81366,0.006319211,1.2810968,0.22184173527778248,1
3,12,-940.8867,0.0077655213,2.649458,0.19186752608836422,1
3,13,-940.94336,0.0060199196,1.1232818,0.14750108457710218,1
