variable,value,agency_id,epoch
"(0, 1, 1)",0.6716659665107727,1,0
"(0, 1, 2)",0.24234715104103088,1,0
"(0, 1, 3)",0.0,1,0
"(0, 1, 1)",0.4218440055847168,1,1
"(0, 1, 2)",0.23271355032920837,1,1
"(0, 1, 3)",0.0,1,1
"(0, 1, 1)",0.1820005476474762,1,2
"(0, 1, 2)",0.22936275601387024,1,2
"(0, 1, 3)",0.0,1,2
"(0, 1, 1)",0.0,1,3
"(0, 1, 2)",0.21954450011253357,1,3
"(0, 1, 3)",0.010375778190791607,1,3
"(0, 1, 1)",0.0,1,4
"(0, 1, 2)",0.21951092779636383,1,4
"(0, 1, 3)",0.07035163789987564,1,4
"(0, 1, 1)",0.0,1,5
"(0, 1, 2)",0.23042404651641846,1,5
"(0, 1, 3)",0.12079384922981262,1,5
"(0, 1, 1)",0.0,1,6
"(0, 1, 2)",0.24084793031215668,1,6
"(0, 1, 3)",0.15075138211250305,1,6
"(0, 1, 1)",0.0,1,7
"(0, 1, 2)",0.24053917825222015,1,7
"(0, 1, 3)",0.17107300460338593,1,7
"(0, 1, 1)",0.0,1,8
"(0, 1, 2)",0.24053049087524414,1,8
"(0, 1, 3)",0.19108735024929047,1,8
"(0, 1, 1)",0.0,1,9
"(0, 1, 2)",0.23064389824867249,1,9
"(0, 1, 3)",0.22103755176067352,1,9
"(0, 1, 1)",0.0,1,10
"(0, 1, 2)",0.2382558286190033,1,10
"(0, 1, 3)",0.23140545189380646,1,10
"(0, 1, 1)",0.0,1,11
"(0, 1, 2)",0.23822452127933502,1,11
"(0, 1, 3)",0.23197919130325317,1,11
"(0, 1, 1)",0.0,1,12
"(0, 1, 2)",0.24816851317882538,1,12
"(0, 1, 3)",0.24200287461280823,1,12
"(0, 1, 1)",0.0,1,13
"(0, 1, 2)",0.23821106553077698,1,13
"(0, 1, 3)",0.25197261571884155,1,13
"(0, 1, 1)",0.0,1,14
"(0, 1, 2)",0.2383696287870407,1,14
"(0, 1, 3)",0.2522551119327545,1,14
"(0, 1, 1)",0.0,1,15
"(0, 1, 2)",0.2484927773475647,1,15
"(0, 1, 3)",0.26202499866485596,1,15
"(0, 1, 1)",0.0,1,16
"(0, 1, 2)",0.23858234286308289,1,16
"(0, 1, 3)",0.2719962000846863,1,16
"(0, 1, 1)",0.0,1,17
"(0, 1, 2)",0.23860657215118408,1,17
"(0, 1, 3)",0.2720445692539215,1,17
"(0, 1, 1)",0.0,1,18
"(0, 1, 2)",0.23878346383571625,1,18
"(0, 1, 3)",0.27202099561691284,1,18
"(0, 1, 1)",0.0,1,19
"(0, 1, 2)",0.24876509606838226,1,19
"(0, 1, 3)",0.2819920778274536,1,19
"(0, 1, 1)",0.0,1,20
"(0, 1, 2)",0.23893576860427856,1,20
"(0, 1, 3)",0.272026002407074,1,20
"(0, 1, 1)",0.0,1,21
"(0, 1, 2)",0.24958206713199615,1,21
"(0, 1, 3)",0.28223446011543274,1,21
"(0, 1, 1)",0.0,1,22
"(0, 1, 2)",0.2396741658449173,1,22
"(0, 1, 3)",0.29191410541534424,1,22
"(0, 1, 1)",0.0,1,23
"(0, 1, 2)",0.2408321052789688,1,23
"(0, 1, 3)",0.2909413278102875,1,23
"(0, 1, 1)",0.0,1,24
"(0, 1, 2)",0.25081512331962585,1,24
"(0, 1, 3)",0.28095510601997375,1,24
"(0, 1, 1)",0.0,1,25
"(0, 1, 2)",0.25105199217796326,1,25
"(0, 1, 3)",0.2807956039905548,1,25
"(0, 1, 1)",0.0,1,26
"(0, 1, 2)",0.2410966455936432,1,26
"(0, 1, 3)",0.29075658321380615,1,26
"(0, 1, 1)",0.0,1,27
"(0, 1, 2)",0.2510790526866913,1,27
"(0, 1, 3)",0.28077054023742676,1,27
"(0, 1, 1)",0.0,1,28
"(0, 1, 2)",0.24112342298030853,1,28
"(0, 1, 3)",0.2907380759716034,1,28
"(0, 1, 1)",0.0,1,29
"(0, 1, 2)",0.25110578536987305,1,29
"(0, 1, 3)",0.28075310587882996,1,29
"(0, 1, 1)",0.0,1,30
"(0, 1, 2)",0.24114990234375,1,30
"(0, 1, 3)",0.2907252907752991,1,30
"(0, 1, 1)",0.0,1,31
"(0, 1, 2)",0.2511322498321533,1,31
"(0, 1, 3)",0.28074154257774353,1,31
"(0, 1, 1)",0.0,1,32
"(0, 1, 2)",0.24117611348628998,1,32
"(0, 1, 3)",0.290717214345932,1,32
"(0, 1, 1)",0.0,1,33
"(0, 1, 2)",0.2511584162712097,1,33
"(0, 1, 3)",0.28073495626449585,1,33
"(0, 1, 1)",0.0,1,34
"(0, 1, 2)",0.24120205640792847,1,34
"(0, 1, 3)",0.2907133400440216,1,34
"(0, 1, 1)",0.0,1,35
"(0, 1, 2)",0.251184344291687,1,35
"(0, 1, 3)",0.2807328402996063,1,35
"(0, 1, 1)",0.0,1,36
"(0, 1, 2)",0.24122777581214905,1,36
"(0, 1, 3)",0.290713369846344,1,36
"(0, 1, 1)",0.0,1,37
"(0, 1, 2)",0.2512100338935852,1,37
"(0, 1, 3)",0.28073498606681824,1,37
"(0, 1, 1)",0.0,1,38
"(0, 1, 2)",0.24125325679779053,1,38
"(0, 1, 3)",0.29071730375289917,1,38
"(0, 1, 1)",0.0,1,39
"(0, 1, 2)",0.2512354850769043,1,39
"(0, 1, 3)",0.2807415723800659,1,39
"(0, 1, 1)",0.0,1,40
"(0, 1, 2)",0.2412785291671753,1,40
"(0, 1, 3)",0.29072532057762146,1,40
"(0, 1, 1)",0.0,1,41
"(0, 1, 2)",0.25126075744628906,1,41
"(0, 1, 3)",0.280752956867218,1,41
"(0, 1, 1)",0.0,1,42
"(0, 1, 2)",0.24130362272262573,1,42
"(0, 1, 3)",0.29073792695999146,1,42
"(0, 1, 1)",0.0,1,43
"(0, 1, 2)",0.2512858211994171,1,43
"(0, 1, 3)",0.28076988458633423,1,43
"(0, 1, 1)",0.0,1,44
"(0, 1, 2)",0.24132852256298065,1,44
"(0, 1, 3)",0.29075586795806885,1,44
"(0, 1, 1)",0.0,1,45
"(0, 1, 2)",0.25131070613861084,1,45
"(0, 1, 3)",0.28079357743263245,1,45
"(0, 1, 1)",0.0,1,46
"(0, 1, 2)",0.24135325849056244,1,46
"(0, 1, 3)",0.2907804250717163,1,46
"(0, 1, 1)",0.0,1,47
"(0, 1, 2)",0.25133541226387024,1,47
"(0, 1, 3)",0.2808261513710022,1,47
"(0, 1, 1)",0.0,1,48
"(0, 1, 2)",0.2413778305053711,1,48
"(0, 1, 3)",0.29081374406814575,1,48
"(0, 1, 1)",0.0,1,49
"(0, 1, 2)",0.2513599693775177,1,49
"(0, 1, 3)",0.2808711528778076,1,49
"(0, 1, 1)",0.0,1,50
"(0, 1, 2)",0.2414022833108902,1,50
"(0, 1, 3)",0.2908593714237213,1,50
"(0, 1, 1)",0.0,1,51
"(0, 1, 2)",0.2513844072818756,1,51
"(0, 1, 3)",0.280935138463974,1,51
"(0, 1, 1)",0.0,1,52
"(0, 1, 2)",0.24142663180828094,1,52
"(0, 1, 3)",0.2909238934516907,1,52
"(0, 1, 1)",0.0,1,53
"(0, 1, 2)",0.25140875577926636,1,53
"(0, 1, 3)",0.28103145956993103,1,53
"(0, 1, 1)",0.0,1,54
"(0, 1, 2)",0.25143298506736755,1,54
"(0, 1, 3)",0.2810821831226349,1,54
"(0, 1, 1)",0.0,1,55
"(0, 1, 2)",0.24147479236125946,1,55
"(0, 1, 3)",0.29107052087783813,1,55
"(0, 1, 1)",0.0,1,56
"(0, 1, 2)",0.24149870872497559,1,56
"(0, 1, 3)",0.29113858938217163,1,56
"(0, 1, 1)",0.0,1,57
"(0, 1, 2)",0.2514807879924774,1,57
"(0, 1, 3)",0.28143009543418884,1,57
"(0, 1, 1)",0.0,1,58
"(0, 1, 2)",0.2415229231119156,1,58
"(0, 1, 3)",0.2914196848869324,1,58
"(0, 1, 1)",0.0,1,59
"(0, 1, 2)",0.251505047082901,1,59
"(0, 1, 3)",0.2817523777484894,1,59
"(0, 1, 1)",0.0,1,60
"(0, 1, 2)",0.24154748022556305,1,60
"(0, 1, 3)",0.29174190759658813,1,60
"(0, 1, 1)",0.0,1,61
"(0, 1, 2)",0.25152963399887085,1,61
"(0, 1, 3)",0.2819873094558716,1,61
"(0, 1, 1)",0.0,1,62
"(0, 1, 2)",0.24157220125198364,1,62
"(0, 1, 3)",0.2919767498970032,1,62
"(0, 1, 1)",0.0,1,63
"(0, 1, 2)",0.251554399728775,1,63
"(0, 1, 3)",0.28216999769210815,1,63
"(0, 1, 1)",0.0,1,64
"(0, 1, 2)",0.241596981883049,1,64
"(0, 1, 3)",0.2921593487262726,1,64
"(0, 1, 1)",0.0,1,65
"(0, 1, 2)",0.2515791654586792,1,65
"(0, 1, 3)",0.2823142409324646,1,65
"(0, 1, 1)",0.0,1,66
"(0, 1, 2)",0.24162167310714722,1,66
"(0, 1, 3)",0.2923034429550171,1,66
"(0, 1, 1)",0.0,1,67
"(0, 1, 2)",0.2516038417816162,1,67
"(0, 1, 3)",0.28242987394332886,1,67
"(0, 1, 1)",0.0,1,68
"(0, 1, 2)",0.24164623022079468,1,68
"(0, 1, 3)",0.2924189269542694,1,68
"(0, 1, 1)",0.0,1,69
"(0, 1, 2)",0.25162839889526367,1,69
"(0, 1, 3)",0.28252512216567993,1,69
"(0, 1, 1)",0.0,1,70
"(0, 1, 2)",0.241670623421669,1,70
"(0, 1, 3)",0.29251399636268616,1,70
"(0, 1, 1)",0.0,1,71
"(0, 1, 2)",0.2516527473926544,1,71
"(0, 1, 3)",0.28260400891304016,1,71
"(0, 1, 1)",0.0,1,72
"(0, 1, 2)",0.24169477820396423,1,72
"(0, 1, 3)",0.2925926446914673,1,72
"(0, 1, 1)",0.0,1,73
"(0, 1, 2)",0.25167685747146606,1,73
"(0, 1, 3)",0.2826700806617737,1,73
"(0, 1, 1)",0.0,1,74
"(0, 1, 2)",0.24171867966651917,1,74
"(0, 1, 3)",0.2926584780216217,1,74
"(0, 1, 1)",0.0,1,75
"(0, 1, 2)",0.2517007291316986,1,75
"(0, 1, 3)",0.28272566199302673,1,75
"(0, 1, 1)",0.0,1,76
"(0, 1, 2)",0.2417422980070114,1,76
"(0, 1, 3)",0.29271379113197327,1,76
"(0, 1, 1)",0.0,1,77
"(0, 1, 2)",0.2517243027687073,1,77
"(0, 1, 3)",0.2827727794647217,1,77
"(0, 1, 1)",0.0,1,78
"(0, 1, 2)",0.24176561832427979,1,78
"(0, 1, 3)",0.29276061058044434,1,78
"(0, 1, 1)",0.0,1,79
"(0, 1, 2)",0.25174757838249207,1,79
"(0, 1, 3)",0.2828129231929779,1,79
"(0, 1, 1)",0.0,1,80
"(0, 1, 2)",0.24178864061832428,1,80
"(0, 1, 3)",0.2928004264831543,1,80
"(0, 1, 1)",0.0,1,81
"(0, 1, 2)",0.251770555973053,1,81
"(0, 1, 3)",0.2828473150730133,1,81
"(0, 1, 1)",0.0,1,82
"(0, 1, 2)",0.2418113499879837,1,82
"(0, 1, 3)",0.29283446073532104,1,82
"(0, 1, 1)",0.0,1,83
"(0, 1, 2)",0.2517932057380676,1,83
"(0, 1, 3)",0.28287675976753235,1,83
"(0, 1, 1)",0.0,1,84
"(0, 1, 2)",0.24183373153209686,1,84
"(0, 1, 3)",0.29286351799964905,1,84
"(0, 1, 1)",0.0,1,85
"(0, 1, 2)",0.251815527677536,1,85
"(0, 1, 3)",0.2829020321369171,1,85
"(0, 1, 1)",0.0,1,86
"(0, 1, 2)",0.24185578525066376,1,86
"(0, 1, 3)",0.2928883731365204,1,86
"(0, 1, 1)",0.0,1,87
"(0, 1, 2)",0.25183752179145813,1,87
"(0, 1, 3)",0.2829236388206482,1,87
"(0, 1, 1)",0.0,1,88
"(0, 1, 2)",0.2418775111436844,1,88
"(0, 1, 3)",0.29290950298309326,1,88
"(0, 1, 1)",0.0,1,89
"(0, 1, 2)",0.251859188079834,1,89
"(0, 1, 3)",0.2829420268535614,1,89
"(0, 1, 1)",0.0,1,90
"(0, 1, 2)",0.24189890921115875,1,90
"(0, 1, 3)",0.29292741417884827,1,90
"(0, 1, 1)",0.0,1,91
"(0, 1, 2)",0.2518805265426636,1,91
"(0, 1, 3)",0.2829575538635254,1,91
"(0, 1, 1)",0.0,1,92
"(0, 1, 2)",0.24191997945308685,1,92
"(0, 1, 3)",0.2929423749446869,1,92
"(0, 1, 1)",0.0,1,93
"(0, 1, 2)",0.2519015371799469,1,93
"(0, 1, 3)",0.2829703986644745,1,93
"(0, 1, 1)",0.0,1,94
"(0, 1, 2)",0.24194073677062988,1,94
"(0, 1, 3)",0.29295462369918823,1,94
"(0, 1, 1)",0.0,1,95
"(0, 1, 2)",0.25192221999168396,1,95
"(0, 1, 3)",0.2829808294773102,1,95
"(0, 1, 1)",0.0,1,96
"(0, 1, 2)",0.24196115136146545,1,96
"(0, 1, 3)",0.2929644286632538,1,96
"(0, 1, 1)",0.0,1,97
"(0, 1, 2)",0.25194257497787476,1,97
"(0, 1, 3)",0.2829890251159668,1,97
"(0, 1, 1)",0.0,1,98
"(0, 1, 2)",0.24198125302791595,1,98
"(0, 1, 3)",0.2929719090461731,1,98
"(0, 1, 1)",0.0,1,99
"(0, 1, 2)",0.2519626319408417,1,99
"(0, 1, 3)",0.2829950451850891,1,99
